Iteration,Discriminator Loss,Generator Loss
3610,1.363563,0.697453
3620,1.363765,0.720265
3630,1.351316,0.791290
3640,1.406166,0.727227
3650,1.347550,0.651922
3660,1.337174,0.551153
3670,1.349289,0.734916
3680,1.350836,0.740219
3690,1.404592,0.719967
3700,1.348260,0.707182
3710,1.366731,0.600393
3720,1.359509,0.652918
3730,1.328831,0.594919
3740,1.353500,0.676073
3750,1.388733,0.627406
3760,1.375200,0.636522
3770,1.350282,0.621462
3780,1.364230,0.625837
3790,1.367944,0.699435
3800,1.317053,0.647638
3810,1.367668,0.722135
3820,1.310228,0.708428
3830,1.369973,0.695380
3840,1.360300,0.728734
3850,1.356671,0.613442
3860,1.314309,0.757811
3870,1.357766,0.791884
3880,1.347638,0.719398
3890,1.337052,0.805194
3900,1.350401,0.711459
3910,1.356380,0.612222
3920,1.370305,0.703189
3930,1.372285,0.689634
3940,1.346582,0.674121
3950,1.332443,0.665396
3960,1.372582,0.693662
3970,1.354450,0.563846
3980,1.372557,0.668948
3990,1.349093,0.743171
4000,1.346984,0.653903
4010,1.346037,0.690268
4020,1.304081,0.606310
4030,1.382161,0.695838
4040,1.343409,0.721530
4050,1.361792,0.704107
4060,1.360712,0.589796
4070,1.370795,0.567874
4080,1.377636,0.772279
4090,1.352467,0.570115
4100,1.333202,0.713405
4110,1.343937,0.580907
4120,1.344113,0.729967
4130,1.293464,0.687894
4140,1.384026,0.795449
4150,1.369991,0.588362
4160,1.361849,0.822921
4170,1.396673,0.832554
4180,1.287993,0.627942
4190,1.275278,0.660202
4200,1.369435,0.698492
4210,1.357405,0.782155
4220,1.361737,0.609536
4230,1.362553,0.716751
4240,1.361496,0.674614
4250,1.354105,0.662384
4260,1.375468,0.703827
4270,1.356706,0.578460
4280,1.341561,0.582994
4290,1.349373,0.701498
4300,1.346783,0.597767
4310,1.381129,0.641476
4320,1.339673,0.634420
4330,1.359534,0.565535
4340,1.314670,0.550472
4350,1.321483,0.698650
4360,1.361663,0.679148
4370,1.352637,0.669418
4380,1.326119,0.618133
4390,1.347180,0.722653
4400,1.261706,0.758829
4410,1.358113,0.707471
4420,1.353929,0.715344
4430,1.351676,0.591449
4440,1.341110,0.505682
4450,1.376684,0.535733
4460,1.384516,0.688918
4470,1.377359,0.653181
4480,1.331282,0.593918
4490,1.316327,0.661508
4500,1.362736,0.668466
4510,1.284106,0.695123
4520,1.327547,0.878905
4530,1.365259,0.680346
4540,1.335778,0.588944
4550,1.362834,0.813943
4560,1.358310,0.643174
4570,1.359599,0.705096
4580,1.276982,0.722776
4590,1.375354,0.643401
4600,1.334901,0.740561
4610,1.345187,0.797047
4620,1.376884,0.610135
4630,1.366194,0.719076
4640,1.384555,0.731382
4650,1.352549,0.728270
4660,1.310257,0.521834
4670,1.300050,0.669939
4680,1.307232,0.714129
4690,1.345950,0.760469
4700,1.340446,0.714636
4710,1.344197,0.579998
4720,1.312217,0.629071
4730,1.288260,0.732973
4740,1.357062,0.513238
4750,1.377972,0.685651
4760,1.409631,0.629834
4770,1.305206,0.593570
4780,1.370623,0.689769
4790,1.354422,0.758566
4800,1.359583,0.543362
4810,1.380767,0.719640
4820,1.306099,0.501060
4830,1.265372,0.675317
4840,1.287258,0.661558
4850,1.376400,0.629901
4860,1.346305,0.645511
4870,1.350989,0.786773
4880,1.377066,0.604097
